description,work
"Evergreen Review, Vol. 13, No. 67 (June 1969). {M&M C227 & E26}  technique in a collage of interviews interspersed with excerpts from his writing. The book, Academy 23, will be pubp. 6. In fact, the book was not published by Grove Press until 1970, under the title The Job. [See Section H below.]    -Space: An Interview with William S. Burroughs (by Daniel Odier).",C229
"Fruit Cup, No. 0 (1969). {M&M C243 & C244}    sic.",C230
"Gaudie, Ser. II, Vol. 6, No. 20 (30 April 1969). {M&M E28}",C231
"Georgia Straight, Vol. 3, No. 73 (310 September 1969). {M&M 242}  Parasites!  A review of The Mind Parasites by Colin Wilson, reprinted from The Rat, Vol. 2, No. 13, below.",C232
"Guardian (London), Vol. 21, No. 39 (5 July 1969). {M&M E25}  [Burroughs interviewed by Nina Sutton.]",C233
"Intrepid, No. 14/15 (Fall/Winter 1969/1970). [M&M C256C264}  Cover: about and by Burroughs, including :  .  the Pier.  Single-column style layout.  .  .  .  .  ... (William Burroughs, Editor) ... On the Back Porch of Hi   dated] March 23, 1969.       52",C234
"IT: [The International Times], No. 57 (23 May5 June 1969). {M&M E24}   [Burroughs interviewed by Felix Scorpio.]",C235
"Kaleidoscope, Vol. 1, No. 16 (417 July 1969).  Cover title: Chicago Kaleidoscope.  VDRSVP, which includes reprint of The Moving Times, [No. 1], above.]",C236
"Klacto/23 International, [No. 1] (17 September 1899 [sic; i.e. 1969]). {M&M 240 & 241}",C237
"Lip, No. 1 (Fall 1969). {M&M C251}      TOC title",C238
"Mayfair, Vol. 4, No. 1 [January 1969]. {M&M C221}  Academy, Bulletin 15)  TOC title",C239
"Mayfair, Vol. 4, No. 2 (February 1969). {M&M C222}",C240
"Mayfair, Vol. 4, No. 4 [April 1969]. {M&M C223}  y Bulletin 17)  TOC title",C241
"Mayfair, Vol. 4, No. 5 [May 1969]. {M&M C224}    TOC title",C242
"Mayfair, Vol. 4, No. 6 [June 1969]. {M&M C226}    TOC title",C243
"Mayfair, Vol. 4, No. 8 [October 1969]. {M&M C234}    TOC title",C244
"Mayfair, Vol. 4, No. 9 [November 1969]. {M&M C237}  Grand Luxury Are Coming Back: Hire Me a Bodyguard for When the Poor Find Out  TOC titleThe Rich Above, The Poor Below  Mayfair p. 4.   53",C245
"Mikrokosmos, No. 14 (1969). {M&M C238}",C246
"NOLA Express, No. 42 (720 November 1969). {M&M C253}",C247
"Le Nouvel Observateur, No. 260 (39 November 1969). {M&M C252}  Épitaphe pour un B  An obituary of Jack Kerouac. [M&M]",C248
"Plexus, No. 28 (October 1969). {M&M E26}   (by Nina Sutton).",C249
"ppH0069 Intercontinental (1969). {M&M C248}    Facsimile of the Beach Books edition of So Who Owns Death TV? [See Section A, above]",C250
"[The] Rat: Subterranean News, Vol. 2, No. 13 (19 June3 July 1969). {M&M C231}  !  A review of The Mind Parasites by Colin Wilson.",C251
"[The] Rat: [Subterranean News], Vol. 2, No. 14 (923 July 1969). {M&M C233}  The Farm",C252
"[The] Rat: Subterranean News, Vol. 2, No. 16 (1226 August 1969). {M&M 236}   Bloodworld  A review of the novel by Lawrence M. Jennifer.",C253
"[The] Rat: [Subterranean News], Vol. 2, No. 18 (1023 September 1969). {M&M 239}",C254
"[The] Rat: [Subterranean News], [Vol. 2, No. 21] (29 October12 November 1969). {M&M C250}    Letter to the Editor: n in the last issue of Rat",C255
"[The] Rat: [Subterranean News], [Vol. 2, No. 23 (324 December 1969)]. {M&M C254}   [Letter to the Editor]",C256
"[The] Rat: Subterranean News, Vol. 2, No. 24 (25 December [1969]7 January 1970).  {M&M C255}  a",C257
"The San Francisco Earthquake, [Vol. 1], No. 5 (1969).   [Includes reprint of The Moving Times, [No. 1], above.]  54",C258
"Swakal, No. 79 (JulySeptember [1969?]).  Cut Up Method of Bri",C259
"The Umi (The Sea), Vol. 1, No. 1 (1969).  [Untitled answer to questionnaire.]",C260
"The Village Voice, Vol. 14, No. 43 (8 August 1969). {M&M C235}    A review of the novel by Brion Gysin.",C261
"The Wormwood Review, Vol. 9, No. 4, Issue 36 (1969). {M&M C247}  Limited to 700 numbered copies.      1 9 7 0",C262
"Actuel, New Ser., No. 2 (November 1970). {M&M C297 & E30}  Le Ticket Qui ... Junkie ... Nova ... Machine Molle ... Festin Nu ... William [Burroughs interviewed by Jean-François Bizot.]    Mes Derniers M  An excerpt from Nova Express, translated by Mary Beach and Bob Kaufman.",C263
"Contact, [No. 1] (July 1970). {M&M C280}  .   Edited by William Burroughs and Alexander Trocchi.   p. 10.",C264
"Corpus, Vol. 1, No. 5 (18 February 1970). {M&M C271}",C265
"Crawdaddy, Vol. 4, No. 5 [Summer 1970]. {M&M C289 & E31}  -  The Jobp. 26.",C266
"Crawdaddy, Vol. 4, No. 10 (6 July 1970). {M&M C283}",C267
"Crawdaddy, Vol. 5, No. 1 (22 November 1970). {M&M C298}",C268
"Cyclops, No. 1 (July 1970). {M&M C281}  Cover:     Illustrated by Malcolm Mc Neill.    55",C269
"Cyclops, No. 2 (August 1970). {M&M C290}    Illustrated by Malcolm Mc Neill.",C270
"Cyclops, No. 3 (September 1970). {M&M C294}    Illustrated by Malcolm Mc Neill.",C271
"Cyclops, No. 4 (October 1970). {M&M C295}    Illustrated by Malcolm Mc Neill.",C272
"The East Village Other, Vol. 5, No. 3 [i.e., 32] (7 July 1970). {M&M C285 & C286}  [sic]",C273
"The East Village Other, Vol. 5, No. 36 (4 August 1970).",C274
"Friends, No. 5 (14 April 1970). {M&M C274}   S. Burroughs, a   [Burroughs interviewed by mail.]",C275
"Friends, No. 9 (10 July 1970). (M&M C287}",C276
"Georgia Straight, Vol. 4, No. 91 (714 January 1970). {M&M C265}",C277
The Guardian (London) (23 April 1970). {M&M C275},C278
"Hotcha!, No. 39 [?] (April 1970). {M&M C273}  e  German translation",C279
"IT: [The International Times], No. 74 (27 February13 March 1970). {M&M C269}  p. 9. (The book was actually published as The Last Words of Dutch Schultz by Cape Goliard Press. See Section A above.)   a.  b.",C280
"IT: [The International Times], No. 81 (18 June2 July 1970). {M&M C277}  , The Job, made by Julian Mitchell in a Recent Guardian Review.  56",C281
"IT: [The International Times], No. 83 (17 JulyJuly 1970). {M&M C288}",C282
"The Listener, Vol. 84, No. 2170 (29 October 1970).    Transcribed from a BBC broadcast interview with Frank Kermode in which Burroughs took part.",C283
"The Listener, Vol. 84, No. 2171 (7 November 1970).    Transcribed from a BBC broadcast interview with Frank Kermode in which Burroughs took part.",C284
"Los Angeles Free Press, Vol. 7, No. 10 (Issue 294) (612 March 1970). {M&M C272}    Cover",C285
"Los Angeles Free Press, Vol. 7, No. 26 (Issue 310) (26 June2 July 1970). {M&M C278}  s Underground Weapons.  Cover",C286
"Los Angeles Free Press, Vol. 7, No. 28 (Issue 312) (1016 July 1970).  The Job: Interviews With William Burroughs lutionary Master Mind and Grand Panjandrum of the Cut-Up The Process by Brion Gysin in the Los Angeles Free Press.",C287
"Los Angeles Free Press, Vol. 7, No. 34 (Issue 318) (2127 August 1970). {M&M C292}     from IT: [The International Times], No. 83 (17 JulyJuly 1970), above.",C288
"Mayfair, Vol. 5, No. 1 (March 1970).    Cover title  TOC titleScientology Secret?",C289
"Mayfair, Vol. 5, No. 2 (April 1970). {M&M C267}",C290
"Mayfair, Vol. 5, No. 3 [May 1970] {M&M C270}       TOC title",C291
"Mayfair, Vol. 5, No. 6 [June 1970]. {M&M C276}   ...   writings in Mayfair on Scientology.   57",C292
"Mayfair, Vol. 5, No. 7 (September 1970). {M&M C279}   , My Super-  TOC title-",C293
"Mayfair, Vol. 5, No. 12 [December 1970]. {M&M C299}    p. 61.",C294
"NOLA Express, No. 62 (21 August3 September 1970). {M&M C291}",C295
"Notes from Underground, No. 3 ([1970?]). {M&M C293}    Roosevelt and altering the names of the more prominent Roosevelt Era figures p. 30.",C296
"Pardon, Vol. 9, No. 2 (February 1970). {M&M E32}  Zwischen Marx und Haschisc [Burroughs interviewed by Nina Sutton.]",C297
"Playboy, Vol. 17, No. 2 (February 1970). {M&M C266}    A panel discussion amongst Burroughs, Harry Anslinger, James Coburn, Baba Ram Dass, Leslie Fiedler, John Finlator, Joel Fort, Joseph Oteri, and Alan Watts.",C298
"[The] Rat: [Subterranean News], Vol. 2 (February 1970). {M&M C268}",C299
"Rolling Stone, No. 69 (29 October 1970). {M&M C296}  NOTE: This is the issue of Rollling Stone in which the death of Janis Joplin and the burial of Jimi Hendrix were reported.    ... a chapter eThe Revised Boy Scout Manual [a version of which was published in 1973 under the title Exterminator! See Section A above.]p. 34.",C300
"Sigma Portfolio, No. 37 (1970). {M&M C284}    1 9 7 1",C301
"Antaeus, No. 2 (Spring 1971). {M&M C304}",C302
East Village Other (1971). {M&M C313},C303
"Evergreen Review, Vol. 15, No. 94 (December 1971). {M&M C321}    The Wild Boys p. 33. 58",C304
"Global Tapestry Journal [1971?]. {M&M E35}  Cover.p.: .  , Dan Georgakas; London,",C305
Gummibaum (1971). {M&M C312}    German translation  [M&M],C306
"Ink, No. 19 (5 October 1971). {M&M C318}",C307
"The Marijuana Review, Vol. 1, No. 6 (JanuaryJune 1971). {M&M C300}    Illustrated by Kim Deitch.",C308
"New Society, No. 454 (10 June 1971). {M&M C310}    A review of Psychedelics by Bernard Aaronson and Humphrey Osmond.",C309
"NOLA Express, No. 73 (22 January4 February 1971). {M&M C301}  o   The Job ... accompanying a long review of the book [by Rich Mangelsdorff] ...",C310
Organ (July 1971). {M&M C315},C311
"Penthouse (London), Vol. 6, No. 6 (September 1971). {M&M E34}  lliam Burroughs, Mind Engineer: Penthouse   Andrew Rossabi).",C312
Planète Plus (May/June 1971).  .],C313
"Renaissance, No. 8 [1971?]. {M&M C314}  Notes [from Underground] [p. 1]",C314
"Suck, No. 5 (Summer 1971). {M&M C316}    The Wild Boys: A Book of the Dead.",C315
"Suck, No. 6 [1971]. {M&M C319 & 320}   a New     59   The Wild Boys: A Book of the Dead (August 1969).",C316
"UFO, No. 1 (June 1971). {M&M C308 & 309}    German translation ...   der nicht-  German translation. [M&M]",C317
"UFO, No. 2 (October 1971). {M&M C317}  utiger Mittwoch",C318
"La Veuve JoyeuseJournal Souterrain pour Adulte Eclaire, No. 1, 2, 3 [sic] (Spring 1971).  {M&M C306}    French translation. [M&M]",C319
"Virginity, No. 14/25 (JuneJuly 1971). {M&M C311}    A 14-line extract from the German translation of Nova Express. [M&M]",C320
Whole Earth Catalog. Supplement [No. 10] (March 1971). {M&M C303}  Whole Earth Catalog,C321
"Zoom, No. 1 (May 1971). {M&M C305}    German translation  [M&M]   1 9 7 2",C322
"Adventures in Poetry, No. 9 (Spring 1972). {M&M C327}",C323
"Antaeus, No. 6 (Summer 1972). {M&M C334}",C324
"Apeiros, No. 2 (1972).  Includes 40 copies with a numbered, signed serigraph by contributor Gil J. Wolman.   (with Brion Gysin).  Facsimile of grid-layout manuscript.",C325
"Bastard Angel, No. 1 (Spring 1972). {M&M C329}",C326
Contrasts (Summer 1972). {M&M C335}      60,C327
"Fervent Valley, No. 2 (Summer 1972). {M&M C338}",C328
"Frendz, No. 31 (14 July [1972]). {M&M E39}  : An Interview With William Burroughsby Bill Butler).",C329
"Ginger Snaps, [No. 1] (March 1972). {M&M C324}  Limited to 300 copies.    Excerpt from The Exterminator (Auerhahn Press, 1960) [See Section A, above]    Best & Co. [sic,[p. 3]",C330
"Hard, No. 1 (Summer 1972). {M&M C333}",C331
"Honk, No. 1 (June 1972). {M&M C328}    German translation nts of Distinction between Sedative and Consciousness-[M&M]",C332
"The Image, No. 7 (1972).  DC   p.43.  Includes facsimiles",C333
"The Iowa Review, Vol. 3, No. 2 (Spring 1972).",C334
"OU, No. 4041 (March 1972). {M&M C325}  sic] Day Reading.  From  [see Section A, above].  Item is present as approximately 9¾ minutes of Side A of a 10-inch ... phono-disc [see Section E, below][M&M]",C335
"Out of Sight, No. 44 (14 February 1972). {M&M C323}",C336
(8 June 1972). {M&M C330}  [Three pages ]  Three full-page reproductions of collaged manuscript pages.,C337
"Penthouse (New York), Vol. 3, No. 7 (March 1972). {M&M E37}  Penthouse   Penthouse (London), Vol. 6, No. 6 (September 1971), above.   61",C338
"Pot, No. 7, No. 1 [sic] (July 1972). {M&M C331}  [Untitled.]",C339
"Rolling Stone, No. 108 (11 May 1972). {M&M E36}  Rolling Stone",C340
"Rolling Stone, No. 120 (26 October 1972). {M&M C341}  Inside Scientology by Robert Ka",C341
"Rolling Stone (London), No. 121 (9 November 1972). {M&M C342}  Inside Scientology",C342
"Shantih International Writings, Vol. 2, No. 2 (Summer 1972). {M&M C332}",C343
"Sixpack, No. 2 (August 1972). {M&M C337}    [p. 2] [See Section A, above.]",C344
"Unmuzzled Ox, Vol. 1, No. 2 (February 1972). {M&M C322}     ... ...  1 9 7 3",C345
"[Adventures in Poetry, No. 10 (1973)]. {M&M C355}",C346
"Antæus, No. 8 (Winter 1973). {M&M C343}",C347
"AQ, No. 14 ([Autumn?] 1973). {M&M C350C352}      German translation by Carl Weissner.",C348
(December 1973). {M&M C354},C349
"Harpers Magazine, Vol. 247, No. 1482 (November 1973). {M&M C353}      62",C350
"Oeuf, No. 15/16/17 (Spring 1973). {M&M C347}    French translation",C351
"OU, No. 4244 (10 October 1973).  .  From  [see Section A, above].  Appears as ].",C352
"Oui, Vol. 2, No. 8 (August 1973). {M&M C348}    William Burroughs Observes Its Rites ... And Is, In Turn, Himself Observed  (by Craig Karpel).p. 68.  Cover",C353
Poudrie de Dent (June 1973). {M&M C346}   marche à vos côtés  French translation Beach.,C354
"Second Aeon, No. 16/17 [1973]. {M&M C345}  ñor",C355
"Sixpack, No. 6 (Winter 1973/74). {M&M C357}    TOC title",C356
"Soft Need, No. 8 (September 1973). {M&M C349}    First English-language version of ... Épitaphe  published in Le Nouvel Observateur, No. 260, above.",C357
"VIA, Vol. 2 (1973). {M&M C356}  Structures Implicit and Explicit    1 9 7 4",C358
"The Anchor, Vol. 66, No. 21 (19 April 1974).  Spectre in a Black Fedbra [sic; i.e. Fedora]: An IGeorge McFadden and Robert Mayoh).   -",C359
"Bastard Angel, No. 3 (Fall 1974).  Final issue.      63",C360
"Black Mask, Vol. 1, No. 1 (August 1974).",C361
"Changes, No. 90 (November 1974).  -  [Burroughs interviewed by James Grauerholz]",C362
"Doris, No. 4 (August 1974).    -in by W.S. Burroughs from the Times obituary 1969 with a scene of Porky Snut from the novel We All Drop Dead (Over and Over) by A.p. 26.",C363
"The Expatriate Review, No. 4 (Winter/Spring 19731974).",C364
The Free Paper (6 November 1974).,C365
"Gay Sunshine, No. 21 (Spring 1974).",C366
"The Michigan Quarterly Review, Vol. 13, No. 1 (Winter 1974).  ith William Burroughs. Jr.]",C367
"National Lampoon, Vol. 1, No. 47 (February 1974).",C368
"The Project Poetry Newsletter, No. 18 (1 October 1974).  letters une poeme modern purred back his young American friend .../",C369
The Real Paper (6 November 1974).  n Davis],C370
"Rolling Stone, No. 155 (28 February 1974).",C371
"The Story So Far, No. 3 (1974).",C372
"Vinduet, Vol. 28, No. 3 (1974).    Translation into NExterminator!    64  1 9 7 5",C373
"Antæus, No. 19 (Autumn, 1975).",C374
"Arcade: The Comics Review, Vol. 1, No. 4 (Winter 1975).  a  Illustrated by S. Clay Wilson.",C375
"Bananas, No. 1 (January/February 1975).",C376
"Bananas, No. 2 (Early Summer 1975).  a man of letters une poeme moderne purred back /",C377
Crawdaddy (June 1975).,C378
Crawdaddy (August 1975).  Cover:   [Column]: Time of the Assassins.  Cover,C379
Crawdaddy (September 1975).  [Column]: Time of the Assassins.  Cover,C380
Crawdaddy (October 1975).  [Column]: Time of the Assassins.,C381
Crawdaddy (November 1975).  [Column]: Time of the Assassins.  Cover,C382
Crawdaddy (December 1975).  [Column]: Time of the Assassins.,C383
"Gasolin 23, No. 7 [1975?]    German translation of an excerpt from The Retreat Diaries.   65",C384
"Mandala, No. 2 (Summer 1975).  The Coldspring News        Translations into Dutch by Peter H. van Lieshout.",C385
"Mati, No. 2 (1975).  Mati).",C386
"Mikrokosmos, No. 20 (1975).    Reprint from Mikrokosmos, No. 14 (1969), above.",C387
"New Departures, No. 7/8 + 10/11 (1975).   ... to celebrate sixteen sweet years of the ND series  p. 4.  .    Facsimile of typed, signed Letter to the Editor.",C388
"Out There, No. 7 (!975).   & William Burroughs  Excerpt from an interview by Barbara Barg, originally published in the Chicago Gazette.",C389
"[Chicago] Reader, Vol. 4, No. 24 (21 March 1975).     interviewed by David Moberg]  1 9 7 6",C390
", Vol. 6, No. 5 (May 1976).  .]",C391
Crawdaddy (January 1976).  [Column]: Time of the Assassins.,C392
Crawdaddy (February 1976).  [Column]: Time of the Assassins.,C393
Crawdaddy (March 1976).  Cover: th   [Column]: Time of the Assassins.  On cover,C394
Crawdaddy (April 1976).  [Column]: Time of the Assassins.   66,C395
Crawdaddy (May 1976).  [Column]: Time of the Assassins.,C396
Crawdaddy (June 1976).  [Column]: Time of the Assassins.  -,C397
"Crawdaddy (July 1976).  Edible Corpses, Killers Drugs, and the Psychic CIA  On cover  TOC title",C398
Crawdaddy (August 1976).  [Column]: Time of the Assassins.,C399
Crawdaddy (September 1976).  [Column]: Time of the Assassins.,C400
Crawdaddy (October 1976).  [Column]: Time of the Assassins.  The Retreat Diaries p. 13.,C401
"Crawdaddy (November 1976).  [Column]: Time of the Assassins.  Street Film Part Zero, a film composition for five projectors and saxophone by Robert E. Fulton. The screening took place in Boulder, Colorado, p. 12.",C402
Crawdaddy (December 1976).  [Column]: Time of the Assassins.,C403
"The Drummer, No. 386 (3-10 February 1976).    [Burroughs interviewed by Victor Bockris]",C404
"The Drummer, No. 388 (17-24 February 1976).     [Burroughs interviewed by Victor Bockris]",C405
"Kontexts, No. 8 (Spring 1976).  Inclu,a report [by Michael Gibbs     [Extracts of an interview with Burroughs by Gerald Minkoff.]  The Third Mind   Two full-page reproductions of collaged manuscript pages.     67",C406
Lightworks (December [1976]-January 1977).  .  The Wild Boysp. 12.  nterview: William S. Burroughs.,C407
"Loka: A Journal from Naropa Institute, No. 2 (1976).  sic    Rinpoche; Anne Waldman; Philip Whalen; and Rick Fields, David Rome, and Joshua Zim]",C408
"New York Arts Journal, Vol. 1, No. 2 (September-November [1976?]).   Burroughs [Interviewed by Victor Bockris]",C409
"Roof, [No. 1] (Summer 1976).  -Crawdaddy.  -",C410
"Rush, Vol. 1, No. 1 (October 1976).",C411
"Rush, Vol. 1, No. 3 (December 1976).   [with Malcolm Mc Neill]  -novel by William S. Burroughs and Malcolm McNeill [sic]. It was conceived in 1970 as an attempt to extend the possibilities of sequential imagery, in book form, at present only utilised [sicp. 39.",C412
"Soft Need, No. 9 (Spring 1976).",C413
"Tel Quel, No. 66 (Spring 1976).  rom] Cities of the Red Night  French translation by Philippe Mikriammos.",C414
"The World, No. 30 (July 1976).    Naked Angelsp. 66.  1 9 7 7",C415
", Vol. 7, No. 2 (February 1977).    [Burroughs and Isherwood interviewed by Victor Bockris.]",C416
"Bombay Gin, No. 4 (Summer/Fall 1977).     68",C417
"Christopher Street, Vol. 1, No. 9 (March 1977).  Junky  excerpt from Junkyp. 12.",C418
Club (October 1977).,C419
"The CoEvolution Quarterly, No. 13 (20 March 1977).  ögyam",C420
"The CoEvolution Quarterly, No. 16 (21 December 1977).  rom The Third Mind",C421
Crawdaddy (January 1977).  It Belongs to the Cucumbers\.,C422
Crawdaddy (February 1977).  [Column]: Time of the Assassins.,C423
Crawdaddy (March 1977).  [Column]: Time of the Assassins.,C424
"Crawdaddy (April 1977).  [Column]: Time of the Assassins.  ... sic] book Junky, which will be published later this month by Penguin Books ... p. 12.",C425
Crawdaddy (May 1977).  [Column]: Time of the Assassins.,C426
Crawdaddy (June 1977).  [Column]: Time of the Assassins.,C427
Crawdaddy (July 1977).  [Column]: Time of the Assassins.,C428
Crawdaddy (August 1977).  [Column]: Time of the Assassins.  The Last Junky: A F,C429
Crawdaddy (September 1977).  [Column]: Time of the Assassins.,C430
Crawdaddy (October 1977).  olumn]: Time of the Assassins: On the Road to Naked Lunch   69,C431
Crawdaddy (November 1977).  [Column]: Time of the Assassins: A Word to the Wise Guy.,C432
"High Times, No. 28 (December 1977).  Cover  M.O.B.My Own Business.  Cover",C433
"In Touch: The Magazine for a Different Point of View, No. 27 (JanuaryFebruary 1977).",C434
"Lightworks, No. 8/9 (Winter 1977).  .  originally writ ... by p. 16.",C435
"National Screw, Vol. 1, No. 5 (April 1977).  Victor Bockris).",C436
"National Screw, Vol. 1, No. 7 (June 1977).  ñ  Port of Saints, a companion volume to The Wild Boysp. 34.  Illustration by Malcolm Mc Neill.",C437
"National Screw, Vol. 1, No. 9 (August 1977).     unpublished novel Port of Saints, a companion volume to The Wild Boysp. 66.  Illustration by Malcolm Mc Neill.",C438
"New Times, Vol. 9, No. 10 (11 November 1977).",C439
"Oui, Vol. 6, No. 10 (October 1977).",C440
"The Paris Review, Vol. 18, No. 69 (Spring 1977).    Junkinsisted the title be changed to Junkie p. [43]-44.",C441
"The Poetry Mailing List, Vol. 3, No. 3 (January 1977).",C442
"Quest/77, Vol. 1, No. 3 (July/August 1977).    A review of How to Stop Smoking by Herbert Brean. 70",C443
"Shell, No. 2/3 (Spring/Summer 1977).    Includes facsimile of grid-layout manuscript.",C444
"The Transatlantic Review, No. 60 (June 1977).  T.p.:",C445
"Travelers Digest, Vol. 1, No. 2 (Winter 1977).",C446
"Berkeley Barb, Vol. 28, No. 2, Issue 687 (26 October8 November 1978).  Barb",C447
"The Blue Ridge Review, Vol. 1, No. 3 (Fall 1978).  Includes review by Charles A. Taormina (publisher and editor of The Blue Ridge ReviewWilliam S. Burroughs, 1953-1973: A Bibliography [sic].     long novel, Cities of the Red Nightp. 59.",C448
"Blueboy, Vol. [sic] 19 (April 1978).  ...   Letters to Allen Ginsberg, 19531957. (Soon to be available in limited edition from Editions Claude Givaudan/Am Here Books, 187p. 62.",C449
"Bombay Gin, No. 6 (Summer 1978Spring 1979).",C450
"Cahiers Critiques de la Littérature, No. 5 (Autumn 1978).  Cobble Stone Gardens-F. Chevrier and Philippe Roussin.    French translation by Gérard-Georges Lemaire.",C451
"Pearl, No. 6 (FallWinter 1978).    -Ja [sic]",C452
"Playgirl, Vol. 5, No. 10 (March 1978).",C453
"Roof, [No.] 5 (Winter 1978).  ive.     71",C454
"Search & Destroy, No. 10 (1978).  Reprinted 1988.  ...",C455
"Semiotext(e), Vol. 3, No. 2, Whole No. 8 (1978).  Issue title: -",C456
"Starscrewer, No. 7 (1978).    Crawdaddy in 1977 and 1978, above.",C457
"Street Magazine, Vol. 2, No. 4 (Issue 8) (1978).    William Burroughs & Allen DeLoach   p. 81.  1 9 7 9",C458
"Bananas, No. 17 (Autumn 1979).  Ah Pook Is Here",C459
Blanco (1979).,C460
"Departures, Vol. 1, No. 1 (1979).  Interview with William Burroughs ).",C461
"En Attendant, No. 22 (November 1979).   [Includes interview of Burroughs by Michel Duval.]",C462
"High Times, No. 42 (February 1979).",C463
"High Times, No. 43 (March 1979).",C464
"High Times, No. 47 (July 1979).  Opinion:",C465
"High Times, No. 48 (August 1979).  -   72",C466
"Little Caesar, No. 9 (1979).  Bugger the Queen, Read Live at the Nova",C467
"New Edinburgh Review, No. 46 (May 1979).   Cover  OB",C468
"New Writing and Writers, No. 16 (1979).",C469
Quotidiana di Poesia (30 June 1979).,C470
"Rocky Ledge, No. 3 (November/December 1979).  ine floors with a",C471
"Rolling Stone College Papers, No. 1 (Fall 1979).  the Editors of College Papers).",C472
"Sphinx Magazin [sic], [No.] 5 (June 1979).   ãch mit Victor Bockris.  German translation by Udo Breger.",C473
"Starscrewer, No. 12 (1979).    Crawdaddy in 1977 and 1978, above.",C474
"Unmuzzled Ox, Vol. 4, No. 4/Vol. 5 (1979).  Cover:   The Poets Encyclopedia Unmuzzled OxFFEP, verso.   1].  [Part 2] by William Jay Smith; [Part 3] by Art Linkletter.",C475
"Wet, Vol. 4, No. 3 (Issue 21) (November/December 1979).  is generally assumed that the spoken /  red in  [sic; i.e. Harpers] Magazine, November 1973p. 31. [See above]  1 9 8 0",C476
"Alternate, Vol. 2, No. 12 (March/April 1980).  Cover:   Port of Saints: Excerpt from H  -published visioTOC.   73",C477
"Blueboy, Vol. [sic] 48 (October 1980).  [Warhol] and Bill [Burroughs]: Media Mavens Dish It Out to Victor    ... Andre Leon Talley was also present ... p. 61.",C478
"Boiled Owl, [No. 3] (1980).    Illustrated by S. Clay Wilson.",C479
"Bombay Gin, No. 8 (Summer/Fall 1980).",C480
"Der Tatler, No. 1 (25 July 1980).  Limited to 32 numbered copies.  Click Click Clack  /  Facsimile of manuscript page.",C481
"[IT:] The International Times, Vol. 5, No. 5 (January/February 1980).",C482
"Magazine Littéraire, No. 157 (February 1980).  érard-Georges Lemaire]  Translated with the collaboration of Jane Gozzett.  Les Limites du Contrô  Translated by Gérard-Georges Lemaire.",C483
"Northeast Rising Sun, Vol. 4, No. 17 (1980).  .]",C484
"Rolling Stone, No. 309 (24 January 1980).",C485
"Talk Talk, Vol. 2, No. 12 (November 1980).  and Ginsberg [Part 1] (by Jim Schwada and Eric Schindling).",C486
"Talk Talk, Vol. 2, No. 13 (December 1980).  ada [sic]).",C487
"Wet, Vol. 4, No. 5 [(Issue 23)] (March/April 1980).    TOC title  p. 25.   74  1 9 8 1",C488
"Am Here Books Catalogue, No. 5 (1981/82, ©1981).  Special edition issued with EP record.  f Hassan-i-",C489
"Art Press, [No.] 48 (May 1981).  Les Voleurs.  French translation by Gérard-Georges Lemaire.",C490
"Atticus Books Catalogue, No. 8 (1981).    ... was read in a slightly different form at the InternatiEdinburgh in 1962. It is revised and reprinted here ...IFC.",C491
"Benzene, Vol. 1, No. 2 (Winter 1981).",C492
City Life Magazine (1981).  William Burroughs. [Interviewed by Jeff Hays.],C493
"Doc(k)s, No. 35 (Fall 1981).  [Reproductions of the cover Blade Runner: A Movie Burroughs (32), W.S.B. (33), Ted Berrigan (3",C494
"File Megazine, Vol. 5, No. 1 (March 1981).  Cities of the Red Night   [p. 13].",C495
"Heavy Metal, Vol. 4, No. 11 (February 1981).    The Adding Machine[p. 4]",C496
"Heavy Metal, Vol. 5, No. 2 (May 1981).    From The Adding Machine.",C497
"High Times, No. 66 (February 1981).  nterview: Terry Southern  Victor Bockris).",C498
"High Times, No. 71 (July 1981).  Cities of the Red Night  Illustrated by Ralph Steadman.",C499
", No. 18 (1981).    Transcribed by Victor Bockris. 75",C500
"Luna-Park, No. 7 (1981).",C501
Mediums (1982).  The Collages of a Word Scientist Forged in His Laboratory.  TOC titlePages from Scrapbook 3.   from Scrapbook 3,C502
"Moody Street Irregulars: A Jack Kerouac Newsletter, No. 9 (Winter/Spring 1981).    -",C503
"Newcomers, Vol. 1, No. 6 (May-June 1981).",C504
"The Rocket, (July 1981).      Illustrated by S. Clay Wilson.",C505
"Semiotext(e), Vol. 4, No. 1, Whole No. 10 (1981).  Issue title:   Reprinted 1995.",C506
"Spit In the Ocean, No. 6 (1981).  JACKET:",C507
"Talk Talk, Vol. 3, No. 6 (Autumn 1981).   ed to 2,000 copies.  cover [p. 3]    : William S. Burroughs (by Bill Rich).",C508
"This Is Important, No. 3 (1981).    Small sheet, accordion-folded.  o Say a Word About Falwell",C509
"Trax, No. 6 (1824 March, 1981).  .]",C510
"The Unicorn Times, No. 8 (May 1981).  Flash Cancer and CrystRed Night.   [Burroughs interviewed by David Beaudouin.]  76",C511
"The Village Voice, Vol. 26, No. 18 (29 April5 May 1981).   [Letter to the Editor]",C512
"Wet, No. 29 (January 1981).     1 9 8 2",C513
"Canyon Cinema Catalog , No. 5 (1982).",C514
"Change, No. 41 (March 1982).  Issue titled .   -Jacques Lebel. In French.)  Includes interview with Burroughs and Brion Gysin, Jean-Pierre Faye (Change editor), Alain Paccadis, and Jean-Jacques Lebel.",C515
